episode_index,source_prefix,source_episode_index,length,dataset_from_index,dataset_to_index,archive_key,archive_url
21,target/atomic/CloseBlenderLid/20250822,21,353,8171,8524,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
22,target/atomic/CloseBlenderLid/20250822,22,379,8524,8903,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
23,target/atomic/CloseBlenderLid/20250822,23,339,8903,9242,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
24,target/atomic/CloseBlenderLid/20250822,24,360,9242,9602,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
25,target/atomic/CloseBlenderLid/20250822,25,411,9602,10013,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
26,target/atomic/CloseBlenderLid/20250822,26,313,10013,10326,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
27,target/atomic/CloseBlenderLid/20250822,27,436,10326,10762,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
28,target/atomic/CloseBlenderLid/20250822,28,460,10762,11222,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
29,target/atomic/CloseBlenderLid/20250822,29,353,11222,11575,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
30,target/atomic/CloseBlenderLid/20250822,30,319,11575,11894,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
31,target/atomic/CloseBlenderLid/20250822,31,306,11894,12200,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
32,target/atomic/CloseBlenderLid/20250822,32,322,12200,12522,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
33,target/atomic/CloseBlenderLid/20250822,33,404,12522,12926,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
34,target/atomic/CloseBlenderLid/20250822,34,403,12926,13329,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
35,target/atomic/CloseBlenderLid/20250822,35,362,13329,13691,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
36,target/atomic/CloseBlenderLid/20250822,36,473,13691,14164,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
37,target/atomic/CloseBlenderLid/20250822,37,292,14164,14456,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
38,target/atomic/CloseBlenderLid/20250822,38,339,14456,14795,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
39,target/atomic/CloseBlenderLid/20250822,39,438,14795,15233,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
40,target/atomic/CloseBlenderLid/20250822,40,249,15233,15482,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
41,target/atomic/CloseBlenderLid/20250822,41,329,15482,15811,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
42,target/atomic/CloseBlenderLid/20250822,42,335,15811,16146,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
43,target/atomic/CloseBlenderLid/20250822,43,280,16146,16426,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
44,target/atomic/CloseBlenderLid/20250822,44,400,16426,16826,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
45,target/atomic/CloseBlenderLid/20250822,45,397,16826,17223,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
46,target/atomic/CloseBlenderLid/20250822,46,367,17223,17590,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
47,target/atomic/CloseBlenderLid/20250822,47,437,17590,18027,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
48,target/atomic/CloseBlenderLid/20250822,48,412,18027,18439,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
49,target/atomic/CloseBlenderLid/20250822,49,443,18439,18882,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
50,target/atomic/CloseBlenderLid/20250822,50,351,18882,19233,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
51,target/atomic/CloseBlenderLid/20250822,51,221,19233,19454,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
52,target/atomic/CloseBlenderLid/20250822,52,478,19454,19932,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
53,target/atomic/CloseBlenderLid/20250822,53,276,19932,20208,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
54,target/atomic/CloseBlenderLid/20250822,54,450,20208,20658,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
55,target/atomic/CloseBlenderLid/20250822,55,473,20658,21131,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
56,target/atomic/CloseBlenderLid/20250822,56,317,21131,21448,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
57,target/atomic/CloseBlenderLid/20250822,57,229,21448,21677,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
58,target/atomic/CloseBlenderLid/20250822,58,204,21677,21881,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
59,target/atomic/CloseBlenderLid/20250822,59,315,21881,22196,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
60,target/atomic/CloseBlenderLid/20250822,60,524,22196,22720,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
61,target/atomic/CloseBlenderLid/20250822,61,380,22720,23100,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
62,target/atomic/CloseBlenderLid/20250822,62,195,23100,23295,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
63,target/atomic/CloseBlenderLid/20250822,63,409,23295,23704,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
64,target/atomic/CloseBlenderLid/20250822,64,307,23704,24011,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
65,target/atomic/CloseBlenderLid/20250822,65,332,24011,24343,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
66,target/atomic/CloseBlenderLid/20250822,66,305,24343,24648,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
67,target/atomic/CloseBlenderLid/20250822,67,321,24648,24969,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
68,target/atomic/CloseBlenderLid/20250822,68,356,24969,25325,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
69,target/atomic/CloseBlenderLid/20250822,69,380,25325,25705,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
70,target/atomic/CloseBlenderLid/20250822,70,411,25705,26116,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
71,target/atomic/CloseBlenderLid/20250822,71,415,26116,26531,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
72,target/atomic/CloseBlenderLid/20250822,72,373,26531,26904,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
73,target/atomic/CloseBlenderLid/20250822,73,505,26904,27409,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
74,target/atomic/CloseBlenderLid/20250822,74,482,27409,27891,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
75,target/atomic/CloseBlenderLid/20250822,75,345,27891,28236,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
76,target/atomic/CloseBlenderLid/20250822,76,373,28236,28609,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
77,target/atomic/CloseBlenderLid/20250822,77,332,28609,28941,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
78,target/atomic/CloseBlenderLid/20250822,78,349,28941,29290,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
79,target/atomic/CloseBlenderLid/20250822,79,237,29290,29527,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
80,target/atomic/CloseBlenderLid/20250822,80,499,29527,30026,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
81,target/atomic/CloseBlenderLid/20250822,81,372,30026,30398,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
82,target/atomic/CloseBlenderLid/20250822,82,288,30398,30686,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
83,target/atomic/CloseBlenderLid/20250822,83,275,30686,30961,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
84,target/atomic/CloseBlenderLid/20250822,84,206,30961,31167,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
85,target/atomic/CloseBlenderLid/20250822,85,306,31167,31473,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
86,target/atomic/CloseBlenderLid/20250822,86,334,31473,31807,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
87,target/atomic/CloseBlenderLid/20250822,87,308,31807,32115,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
88,target/atomic/CloseBlenderLid/20250822,88,441,32115,32556,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
89,target/atomic/CloseBlenderLid/20250822,89,373,32556,32929,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
90,target/atomic/CloseBlenderLid/20250822,90,298,32929,33227,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
91,target/atomic/CloseBlenderLid/20250822,91,367,33227,33594,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
92,target/atomic/CloseBlenderLid/20250822,92,413,33594,34007,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
93,target/atomic/CloseBlenderLid/20250822,93,420,34007,34427,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
94,target/atomic/CloseBlenderLid/20250822,94,420,34427,34847,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
95,target/atomic/CloseBlenderLid/20250822,95,490,34847,35337,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
96,target/atomic/CloseBlenderLid/20250822,96,405,35337,35742,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
97,target/atomic/CloseBlenderLid/20250822,97,438,35742,36180,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
98,target/atomic/CloseBlenderLid/20250822,98,190,36180,36370,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
99,target/atomic/CloseBlenderLid/20250822,99,433,36370,36803,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
100,target/atomic/CloseBlenderLid/20250822,100,232,36803,37035,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
101,target/atomic/CloseBlenderLid/20250822,101,459,37035,37494,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
102,target/atomic/CloseBlenderLid/20250822,102,284,37494,37778,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
103,target/atomic/CloseBlenderLid/20250822,103,368,37778,38146,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
104,target/atomic/CloseBlenderLid/20250822,104,434,38146,38580,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
105,target/atomic/CloseBlenderLid/20250822,105,317,38580,38897,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
106,target/atomic/CloseBlenderLid/20250822,106,244,38897,39141,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
107,target/atomic/CloseBlenderLid/20250822,107,408,39141,39549,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
108,target/atomic/CloseBlenderLid/20250822,108,426,39549,39975,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
109,target/atomic/CloseBlenderLid/20250822,109,477,39975,40452,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
110,target/atomic/CloseBlenderLid/20250822,110,490,40452,40942,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
111,target/atomic/CloseBlenderLid/20250822,111,331,40942,41273,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
112,target/atomic/CloseBlenderLid/20250822,112,270,41273,41543,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
113,target/atomic/CloseBlenderLid/20250822,113,317,41543,41860,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
114,target/atomic/CloseBlenderLid/20250822,114,415,41860,42275,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
115,target/atomic/CloseBlenderLid/20250822,115,262,42275,42537,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
116,target/atomic/CloseBlenderLid/20250822,116,272,42537,42809,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
117,target/atomic/CloseBlenderLid/20250822,117,291,42809,43100,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
118,target/atomic/CloseBlenderLid/20250822,118,388,43100,43488,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
119,target/atomic/CloseBlenderLid/20250822,119,338,43488,43826,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
120,target/atomic/CloseBlenderLid/20250822,120,576,43826,44402,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
121,target/atomic/CloseBlenderLid/20250822,121,173,44402,44575,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
122,target/atomic/CloseBlenderLid/20250822,122,391,44575,44966,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
123,target/atomic/CloseBlenderLid/20250822,123,375,44966,45341,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
124,target/atomic/CloseBlenderLid/20250822,124,385,45341,45726,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
125,target/atomic/CloseBlenderLid/20250822,125,463,45726,46189,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
126,target/atomic/CloseBlenderLid/20250822,126,388,46189,46577,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
127,target/atomic/CloseBlenderLid/20250822,127,387,46577,46964,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
128,target/atomic/CloseBlenderLid/20250822,128,321,46964,47285,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
129,target/atomic/CloseBlenderLid/20250822,129,403,47285,47688,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
130,target/atomic/CloseBlenderLid/20250822,130,326,47688,48014,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
131,target/atomic/CloseBlenderLid/20250822,131,316,48014,48330,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
132,target/atomic/CloseBlenderLid/20250822,132,470,48330,48800,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
133,target/atomic/CloseBlenderLid/20250822,133,468,48800,49268,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
134,target/atomic/CloseBlenderLid/20250822,134,247,49268,49515,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
135,target/atomic/CloseBlenderLid/20250822,135,434,49515,49949,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
136,target/atomic/CloseBlenderLid/20250822,136,265,49949,50214,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
137,target/atomic/CloseBlenderLid/20250822,137,362,50214,50576,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
138,target/atomic/CloseBlenderLid/20250822,138,381,50576,50957,target/atomic/CloseBlenderLid/20250822/lerobot.tar,https://utexas.box.com/s/7anj5ckrlitmvwbexhh9elt9tof9v8sh
